iter	Passed	Remaining
0	539	539117
1	1166	582096
2	1712	569079
3	2229	555105
4	2792	555636
5	3283	544046
6	3859	547544
7	4359	540592
8	4954	545557
9	5505	545086
10	6027	541908
11	6485	533960
12	7007	532058
13	7349	517649
14	7883	517662
15	8507	523205
16	9039	522714
17	9591	523269
18	10102	521589
19	10636	521201
20	11178	521126
21	11646	517718
22	12187	517703
23	12780	519733
24	13339	520242
25	13890	520367
26	14451	520800
27	14958	519275
28	15443	517099
29	15973	516465
30	16507	515986
31	17040	515464
32	17568	514805
33	18131	515141
34	18657	514413
35	19196	514027
36	19705	512877
37	20310	514169
38	20885	514636
39	21422	514131
40	22012	514873
41	22577	514984
42	23103	514188
43	23676	514431
44	24205	513703
45	24742	513140
46	25308	513165
47	25861	512910
48	26369	511788
49	26979	512619
50	27565	512939
51	28175	513658
52	28729	513334
53	29304	513379
54	29866	513157
55	30355	511713
56	30845	510310
57	31393	509880
58	31895	508711
59	32473	508748
60	32978	507654
61	33554	507650
62	34111	507343
63	34606	506117
64	35173	505953
65	35694	505137
66	36165	503617
67	36710	503151
68	37223	502246
69	37724	501192
70	38293	501053
71	38886	501197
72	39413	500492
73	39917	499513
74	40389	498136
75	40905	497319
76	41514	497640
77	42065	497232
78	42595	496587
79	43180	496572
80	43743	496303
81	44272	495633
82	44830	495295
83	45375	494810
84	45893	494027
85	46503	494231
86	47063	493897
87	47662	493951
88	48279	494189
89	48858	494009
90	49451	493974
91	49967	493162
92	50562	493122
93	51191	493398
94	51800	493464
95	52420	493624
96	52997	493364
97	53538	492774
98	54042	491843
99	54592	491334
100	55105	490496
101	55633	489793
102	56143	488935
103	56671	488249
104	57173	487339
105	57735	486940
106	58304	486598
107	58779	485472
108	59300	484738
109	59902	484665
110	60359	483419
111	60886	482741
112	61426	482167
113	61980	481707
114	62565	481481
115	63211	481713
116	63884	482134
117	64429	481583
118	64954	480880
119	65519	480478
120	66079	480030
121	66723	480192
122	67302	479871
123	67825	479153
124	68358	478509
125	68894	477890
126	69442	477346
127	69705	474871
128	70225	474158
129	70687	473060
130	71217	472427
131	71751	471819
132	72229	470848
133	72757	470209
134	73293	469619
135	73846	469143
136	74389	468597
137	74899	467852
138	75440	467297
139	76025	467015
140	76571	466487
141	77048	465548
142	77639	465292
143	78193	464814
144	78705	464088
145	79262	463633
146	79812	463130
147	80377	462713
148	80922	462179
149	81497	461817
150	82019	461157
151	82524	460397
152	83026	459633
153	83486	458631
154	83985	457854
155	84465	456981
156	84722	454913
157	85258	454353
158	85789	453769
159	86312	453138
160	86766	452156
161	87336	451779
162	87865	451188
163	88331	450275
164	88816	449464
165	89307	448688
166	89802	447938
